user_id,visa_type,filing_status,num_dependents,total_income,foreign_income,foreign_tax_paid,student_loan_interest_paid,paid_tuition,owns_home,state,years_in_us,foreign_tax_credit,student_loan_interest,standard_deduction,earned_income_credit,child_tax_credit,educator_expense,ira_deduction,home_ownership_credit
0,none,married_filing_separately,1,90472,0,0,1,0,0,TX,49,0,0,1,0,1,0,0,0
1,STEM OPT,single,2,17882,69769,1,0,1,1,CA,14,1,0,1,1,1,0,0,0
2,none,head_of_household,0,431011,0,0,1,1,1,CA,40,0,0,0,0,0,0,0,0
3,none,married_filing_jointly,4,16299,0,0,1,0,1,CA,33,0,1,1,1,1,0,1,1
4,none,single,1,110289,0,0,1,1,0,MA,56,0,1,1,0,1,0,0,0
5,none,qualifying_widow,3,139860,0,0,1,0,1,OH,57,0,0,1,0,0,0,0,1
6,none,married_filing_separately,2,13282,0,0,0,0,1,FL,22,0,0,1,1,1,0,0,1
7,none,married_filing_separately,2,29593,0,0,0,0,0,IL,48,0,0,1,1,1,0,0,0
8,none,single,4,36064,0,0,0,1,1,IL,27,0,0,0,0,1,1,0,1
9,none,married_filing_jointly,0,1019009,0,0,0,0,0,TX,42,0,1,1,0,0,0,0,0
10,none,single,1,35567,0,0,1,0,1,TX,46,0,1,1,1,1,0,0,1
11,H-1B,head_of_household,0,15924,11714,0,0,1,1,PA,12,1,0,1,1,0,0,1,1
12,none,married_filing_jointly,3,69048,0,0,1,0,1,NJ,25,0,1,1,0,1,0,0,1
13,none,head_of_household,1,17278,0,0,0,0,1,CA,30,0,0,1,1,0,0,0,1
14,none,married_filing_jointly,2,41965,4920,1,0,1,0,NJ,45,1,0,1,1,1,1,1,0
15,none,single,0,29453,0,0,0,0,1,IL,27,0,0,0,0,0,0,1,1
16,none,married_filing_jointly,3,70700,0,0,0,0,0,NY,28,0,0,1,0,1,0,0,0
17,none,single,1,26766,0,0,0,0,0,CA,19,0,0,1,1,1,0,0,0
18,none,head_of_household,0,23706,26150,1,0,0,1,PA,28,1,0,1,0,0,1,1,1
19,none,married_filing_jointly,4,117141,0,0,0,0,1,FL,39,0,0,1,0,1,1,0,1
20,H-1B,married_filing_jointly,2,57535,12597,1,0,0,1,TX,1,1,0,1,1,1,0,0,1
21,F-1,single,1,45497,17188,1,0,0,0,VA,11,1,0,1,1,1,1,0,0
22,none,qualifying_widow,1,7844,0,0,1,0,0,NY,32,0,1,1,1,1,0,0,0
23,none,head_of_household,3,77625,21698,1,0,0,1,CA,23,1,0,1,0,1,1,0,1
24,F-1,married_filing_separately,2,29039,77794,1,0,0,0,TX,1,1,0,1,1,1,0,0,0
25,none,single,3,56986,0,0,0,0,0,TX,18,0,0,1,1,1,0,0,0
26,none,married_filing_jointly,1,8434,0,0,0,0,0,WA,59,0,0,0,1,1,1,0,0
27,none,single,0,56925,0,0,0,0,1,TX,43,0,0,0,0,1,0,0,1
28,none,single,0,52775,0,0,1,0,0,NY,18,0,1,1,0,0,1,0,0
29,none,married_filing_jointly,1,36077,0,0,1,0,1,NC,22,0,1,1,1,1,0,0,1
30,none,married_filing_jointly,4,19981,0,0,1,0,1,CA,34,0,1,1,1,1,0,0,1
31,none,qualifying_widow,0,126682,0,0,0,1,0,NY,28,0,0,1,0,0,1,0,0
32,none,single,0,22654,0,0,0,0,1,OH,26,0,0,1,0,0,0,0,1
33,none,single,0,100627,0,0,0,0,1,VA,55,0,0,1,1,0,0,0,1
34,none,married_filing_jointly,3,113827,0,0,1,0,0,OH,53,0,1,1,0,1,0,0,0
35,none,single,4,20973,0,0,1,0,0,CA,29,0,1,0,1,1,0,1,0
36,none,single,2,86963,0,0,0,1,1,FL,48,0,0,1,0,1,0,0,1
37,none,married_filing_jointly,4,30129,0,0,0,0,0,FL,20,0,0,1,1,1,0,0,0
38,none,single,1,78800,0,0,0,0,1,FL,48,0,1,1,0,1,1,1,1
39,none,married_filing_jointly,4,19104,0,0,0,0,0,AZ,21,0,0,0,1,1,0,0,0
40,H-1B,single,2,39991,64576,1,1,0,1,CA,2,1,1,1,1,1,0,0,1
41,none,head_of_household,1,47541,0,0,1,0,0,TX,52,0,1,0,1,1,0,0,0
42,J-1,married_filing_jointly,4,43197,29430,0,0,1,1,NY,15,0,0,0,1,1,1,0,1
43,none,single,0,62510,0,0,0,1,0,CA,53,0,0,1,0,0,0,1,0
44,none,head_of_household,0,21420,0,0,1,1,1,NY,44,0,1,1,0,0,0,1,1
